Identifiant,Espèce,id_site,id_arbre
3601644,Xanthoria parietina,nannan,3601640.0
3601645,Physcia adscendens/tenella,nannan,3601641.0
3601646,lichen crustacé à aspect poudreux,nannan,3601642.0
3601648,lichen crustacé à aspect poudreux,nannan,3609320.0
3601650,lichen crustacé à aspect poudreux,nannan,3609321.0
3609324,Parmelina tiliacea/pastillifera,nannan,3609322.0
3609326,Physcia adscendens/tenella,nannan,3617385.0
3609327,Parmelia sulcata,nannan,3617395.0
3609328,Amandinea punctata/Lecidella elaeochroma,nannan,3617396.0
3609329,Lecanora chlarotera,nannan,3617397.0
3609330,Candelaria xanthostigma,nannan,3619836.0
3609331,Xanthoria parietina,nannan,3619837.0
3609332,Hypotrachyna afrorevoluta/revoluta,nannan,3619838.0
3609333,Hypogymnia physodes/tubulosa,nannan,3631960.0
3609334,Parmelia saxatilis,nannan,3637449.0
3609335,Ramalina farinacea,nannan,3637460.0
3609336,Ramalina fastigiata,nannan,3637461.0
3609337,Evernia prunastri,nannan,3637480.0
3609338,Parmelia subrudecta,nannan,3637481.0
3617387,Amandinea punctata/Lecidella elaeochroma,nannan,3637482.0
3617388,Physcia adscendens/tenella,nannan,3637554.0
3617389,Xanthoria parietina,nannan,3645718.0
3617390,Amandinea punctata/Lecidella elaeochroma,nannan,3646315.0
3617391,Amandinea punctata/Lecidella elaeochroma,nannan,3646316.0
3617393,Xanthoria parietina,nannan,3646317.0
3617394,Diploicia canescens,nannan,3646318.0
3617400,Amandinea punctata/Lecidella elaeochroma,nannan,3646789.0
3617401,Physcia adscendens/tenella,nannan,3647789.0
3617402,Xanthoria parietina,nannan,3647790.0
3617403,Amandinea punctata/Lecidella elaeochroma,nannan,3647791.0
3617404,Physcia adscendens/tenella,nannan,3647973.0
3617405,Xanthoria parietina,nannan,3649105.0
3617406,Diploicia canescens,nannan,3649106.0
3617407,Xanthoria parietina,nannan,3649107.0
3617408,Physcia adscendens/tenella,nannan,3649536.0
3617409,Physcia aipolia/stellaris,nannan,3649555.0
3617413,Xanthoria parietina,nannan,3650001.0
3617414,Physcia adscendens/tenella,nannan,3650013.0
3617415,Physcia aipolia/stellaris,nannan,3650605.0
3617416,Diploicia canescens,nannan,3650606.0
3617417,autre lichen crustacé,nannan,3651274.0
3617418,Xanthoria parietina,nannan,3651275.0
3617419,Physcia adscendens/tenella,nannan,3651276.0
