"Identifiant unique",Identifiant,Espèce,"Numéro nomenclatural","Nom retenu","Numéro nomenclatural nom retenu",Famille,"Référentiel taxonomique",Certitude,"Type d'observation","Source de la saisie",Spontanéité,Latitude,Longitude,"Référentiel Géographique",Pays,Commune,"Identifiant Commune","Floutage (niveau de localisation diffusé)",Altitude,Lieu-dit,Milieu,Date,Notes,"Programme de sciences participatives ou observatoire citoyen","Mots Clés","Lien vers l'observation sur IdentiPlante",Image(s),Auteur,"Cohérence entre la localité et les coordonnées GPS","Précision de la localisation",Station,"Indicateur de fiabilité","Détermination validée sur IdentiPlante","Score IdentiPlante",Abondance,Phénologie,"Présence d'un échantillon d'herbier","Date Création","Date Modification",Transmis,"Date Transmission",Observateur,"Structure de l'observateur",Déterminateur,"Source bibliographique",ext:altitude-releve,ext:circonference,ext:face-ombre,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:rue,ext:rue-arbres,ext:id_obs_arbre,ext:loc-sur-tronc,ext:com-arbres,ext:latitude-arbres,ext:longitude-arbres,ext:altitude-arbres
urn:lsid:tela-botanica.org:cel:3601640,3601640,"Celtis australis L. [1753]",14954,"Celtis australis L. [1753]",14954,,bdtfx,certain,"observation de terrain",widget,0,42.55616,2.97596,WGS84,FR,Saint-André,,,29,,,2018/03/03,"données envoyées par mail à Laure Certitude : certaine",tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo",,,"Laure Turcati  (http://www.tela-botanica.org/profil:10726)",,,,3,0,,,,0,"2019-07-01 11:11:06","2020-03-23 14:30:29",oui,"2019-07-01 11:11:06","Laure Turcati",,,,35,67,aucune,42.551862,2.972345,1,"Rue de Taxo","Camí del Mas Nou",,,,,,
urn:lsid:tela-botanica.org:cel:3601641,3601641,"Celtis australis L. [1753]",14954,"Celtis australis L. [1753]",14954,,bdtfx,certain,"observation de terrain",widget,0,42.55609,2.97587,WGS84,FR,Saint-André,,,29,,,2018/03/03,"données envoyées par mail à Laure Certitude : certaine",tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo",,,"Laure Turcati  (http://www.tela-botanica.org/profil:10726)",,,,3,0,,,,0,"2019-07-01 11:11:06","2020-03-23 14:31:10",oui,"2019-07-01 11:11:06","Laure Turcati",,,,35,72.5,sud,42.551862,2.972345,2,"Rue de Taxo","Camí del Mas Nou",,,,,,
urn:lsid:tela-botanica.org:cel:3601642,3601642,"Celtis australis L. [1753]",14954,"Celtis australis L. [1753]",14954,,bdtfx,certain,"observation de terrain",widget,0,42.55600,2.97580,WGS84,FR,Saint-André,,,27,,,2018/03/03,"données envoyées par mail à Laure Certitude : certaine",tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo",,,"Laure Turcati  (http://www.tela-botanica.org/profil:10726)",,,,3,0,,,,0,"2019-07-01 11:11:07","2020-03-23 14:27:20",oui,"2019-07-01 11:11:07","Laure Turcati",,,,35,63.5,aucune,42.551862,2.972345,3,"Rue de Taxo","Camí del Mas Nou",,,,,,
urn:lsid:tela-botanica.org:cel:3601644,3601644,"Xanthoria parietina",59568,"Xanthoria parietina",59568,,taxref,"à déterminer","observation de terrain",widget,1,42.55616,2.97596,WGS84,FR,Saint-André,,,29,,,2018/03/03,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Laure Turcati  (http://www.tela-botanica.org/profil:10726)",,,,2,0,,,,0,"2019-07-01 11:14:00","2019-07-01 11:14:01",oui,"2019-07-01 11:14:00",,,,,,,,,,,"Rue de Taxo",,3601642,n2;n3;n4;,,,,
urn:lsid:tela-botanica.org:cel:3601645,3601645,"Physcia adscendens/tenella",196232,"Physcia adscendens/tenella",196232,,taxref,"à déterminer","observation de terrain",widget,1,42.55616,2.97596,WGS84,FR,Saint-André,,,29,,,2018/03/03,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Laure Turcati  (http://www.tela-botanica.org/profil:10726)",,,,2,0,,,,0,"2019-07-01 11:14:01","2019-07-01 11:14:01",oui,"2019-07-01 11:14:01",,,,,,,,,,,"Rue de Taxo",,3601642,n1;n2;n3;n4;n5;,,,,
urn:lsid:tela-botanica.org:cel:3601646,3601646,"lichen crustacé à aspect poudreux",,"lichen crustacé à aspect poudreux",,,Autre/inconnu,"à déterminer","observation de terrain",widget,1,42.55616,2.97596,WGS84,FR,Saint-André,,,29,,,2018/03/03,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Laure Turcati  (http://www.tela-botanica.org/profil:10726)",,,,2,0,,,,0,"2019-07-01 11:14:01","2019-07-01 11:14:02",oui,"2019-07-01 11:14:01",,,,,,,,,,,"Rue de Taxo",,3601642,n1;s1;n2;n3;n4;s4;n5;s5;,,,,
urn:lsid:tela-botanica.org:cel:3601648,3601648,"lichen crustacé à aspect poudreux",,"lichen crustacé à aspect poudreux",,,Autre/inconnu,"à déterminer","observation de terrain",widget,1,42.55609,2.97587,WGS84,FR,Saint-André,,,29,,,2018/03/03,,tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Laure Turcati  (http://www.tela-botanica.org/profil:10726)",,,,2,0,,,,0,"2019-07-01 11:15:15","2019-07-01 11:15:16",oui,"2019-07-01 11:15:15",,,,,,,,,,,"Rue de Taxo",,0,n1;s1;n2;s2;o2;n3;s3;o3;n4;s4;s5;o5;,,,,
urn:lsid:tela-botanica.org:cel:3601650,3601650,"lichen crustacé à aspect poudreux",,"lichen crustacé à aspect poudreux",,,Autre/inconnu,"à déterminer","observation de terrain",widget,1,42.55600,2.97580,WGS84,FR,Saint-André,,,27,,,2018/03/03,"très peu d'individus Certitude : à determiner",tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo,lichens",,,"Laure Turcati  (http://www.tela-botanica.org/profil:10726)",,,,2,0,,,,0,"2019-07-01 11:16:26","2019-07-01 11:16:26",oui,"2019-07-01 11:16:26",,,,,,,,,,,"Rue de Taxo",,0,s1;s2;s3;s4;,,,,
urn:lsid:tela-botanica.org:cel:3609320,3609320,"Acer platanoides L. [1753]",74934,"Acer platanoides L. [1753]",74934,Sapindaceae,bdtfx,certain,"observation de terrain",widget,1,45.82575,1.23837,WGS84,FR,Limoges,87085,,293,,,2019/06/17,"Arbre 2  du relevé sTREETs repris pour le projet Lichens Go ! Certitude : certaine",tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,3,0,,,,0,"2019-07-30 18:10:01","2019-08-10 19:38:39",oui,"2019-07-30 18:10:01",,,,,297,98,ouest,45.826467,1.238365,1,"Avenue de Naugeat","Avenue de Naugeat",,,,,,
urn:lsid:tela-botanica.org:cel:3609321,3609321,"Acer platanoides L. [1753]",74934,"Acer platanoides L. [1753]",74934,Sapindaceae,bdtfx,certain,"observation de terrain",widget,1,45.82568,1.23840,WGS84,FR,Limoges,87085,,293,,,2019/06/17,"Arbre 3 du relevé sTREETs repris pour le relevé Lichens Go ! Certitude : certaine",tb_lichensgo,"Projets coopératifs,WidgetSaisie,tb_lichensgo",,,"Cécile Lambert  (http://www.tela-botanica.org/profil:38326)",,,,3,0,,,,0,"2019-07-30 18:10:01","2019-08-10 19:39:35",oui,"2019-07-30 18:10:01",,,,,297,84,ouest,45.826467,1.238365,2,"Avenue de Naugeat","Avenue de Naugeat",,,,,,
