,Identifiant unique,Identifiant,Espèce,Numéro nomenclatural,Famille,Référentiel taxonomique,Type d'observation,Spontanéité,Latitude,Longitude,Référentiel Géographique,Pays,Commune,Identifiant Commune,Floutage (niveau de localisation diffusé),Altitude,Date,Programme de sciences participatives ou observatoire citoyen,Auteur,Détermination validée sur IdentiPlante,Date Création,Date Modification,Transmis,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:rue,ext:rue-arbres,ext:id_obs_arbre,ext:loc-sur-tronc
0,urn:lsid:tela-botanica.org:cel:3601640,3601640,Celtis australis L. [1753],14954,Null,bdtfx,observation de terrain,0,42.55616,2.97596,WGS84,FR,Saint-André,0,Null,29,2018/03/03,tb_lichensgo,Laure Turcati  (http://www.tela-botanica.org/profil:10726),0,2019-07-01 11:11:06,2020-03-23 14:30:29,oui,42.551862,2.972345,1.0,Rue de Taxo,Camí del Mas Nou,,
1,urn:lsid:tela-botanica.org:cel:3601641,3601641,Celtis australis L. [1753],14954,Null,bdtfx,observation de terrain,0,42.55609,2.97587,WGS84,FR,Saint-André,0,Null,29,2018/03/03,tb_lichensgo,Laure Turcati  (http://www.tela-botanica.org/profil:10726),0,2019-07-01 11:11:06,2020-03-23 14:31:10,oui,42.551862,2.972345,2.0,Rue de Taxo,Camí del Mas Nou,,
2,urn:lsid:tela-botanica.org:cel:3601642,3601642,Celtis australis L. [1753],14954,Null,bdtfx,observation de terrain,0,42.556,2.9758,WGS84,FR,Saint-André,0,Null,27,2018/03/03,tb_lichensgo,Laure Turcati  (http://www.tela-botanica.org/profil:10726),0,2019-07-01 11:11:07,2020-03-23 14:27:20,oui,42.551862,2.972345,3.0,Rue de Taxo,Camí del Mas Nou,,
3,urn:lsid:tela-botanica.org:cel:3601644,3601644,Xanthoria parietina,59568,Null,taxref,observation de terrain,1,42.55616,2.97596,WGS84,FR,Saint-André,0,Null,29,2018/03/03,tb_lichensgo,Laure Turcati  (http://www.tela-botanica.org/profil:10726),0,2019-07-01 11:14:00,2019-07-01 11:14:01,oui,,,,Rue de Taxo,,3601642.0,n2;n3;n4;
4,urn:lsid:tela-botanica.org:cel:3601645,3601645,Physcia adscendens/tenella,196232,Null,taxref,observation de terrain,1,42.55616,2.97596,WGS84,FR,Saint-André,0,Null,29,2018/03/03,tb_lichensgo,Laure Turcati  (http://www.tela-botanica.org/profil:10726),0,2019-07-01 11:14:01,2019-07-01 11:14:01,oui,,,,Rue de Taxo,,3601642.0,n1;n2;n3;n4;n5;
5,urn:lsid:tela-botanica.org:cel:3601646,3601646,lichen crustacé à aspect poudreux,0,Null,Autre/inconnu,observation de terrain,1,42.55616,2.97596,WGS84,FR,Saint-André,0,Null,29,2018/03/03,tb_lichensgo,Laure Turcati  (http://www.tela-botanica.org/profil:10726),0,2019-07-01 11:14:01,2019-07-01 11:14:02,oui,,,,Rue de Taxo,,3601642.0,n1;s1;n2;n3;n4;s4;n5;s5;
6,urn:lsid:tela-botanica.org:cel:3601648,3601648,lichen crustacé à aspect poudreux,0,Null,Autre/inconnu,observation de terrain,1,42.55609,2.97587,WGS84,FR,Saint-André,0,Null,29,2018/03/03,tb_lichensgo,Laure Turcati  (http://www.tela-botanica.org/profil:10726),0,2019-07-01 11:15:15,2019-07-01 11:15:16,oui,,,,Rue de Taxo,,0.0,n1;s1;n2;s2;o2;n3;s3;o3;n4;s4;s5;o5;
7,urn:lsid:tela-botanica.org:cel:3601650,3601650,lichen crustacé à aspect poudreux,0,Null,Autre/inconnu,observation de terrain,1,42.556,2.9758,WGS84,FR,Saint-André,0,Null,27,2018/03/03,tb_lichensgo,Laure Turcati  (http://www.tela-botanica.org/profil:10726),0,2019-07-01 11:16:26,2019-07-01 11:16:26,oui,,,,Rue de Taxo,,0.0,s1;s2;s3;s4;
8,urn:lsid:tela-botanica.org:cel:3609320,3609320,Acer platanoides L. [1753],74934,Sapindaceae,bdtfx,observation de terrain,1,45.82575,1.23837,WGS84,FR,Limoges,87085,Null,293,2019/06/17,tb_lichensgo,Cécile Lambert  (http://www.tela-botanica.org/profil:38326),0,2019-07-30 18:10:01,2019-08-10 19:38:39,oui,45.826467,1.238365,1.0,Avenue de Naugeat,Avenue de Naugeat,,
9,urn:lsid:tela-botanica.org:cel:3609321,3609321,Acer platanoides L. [1753],74934,Sapindaceae,bdtfx,observation de terrain,1,45.82568,1.2384,WGS84,FR,Limoges,87085,Null,293,2019/06/17,tb_lichensgo,Cécile Lambert  (http://www.tela-botanica.org/profil:38326),0,2019-07-30 18:10:01,2019-08-10 19:39:35,oui,45.826467,1.238365,2.0,Avenue de Naugeat,Avenue de Naugeat,,
10,urn:lsid:tela-botanica.org:cel:3609322,3609322,Acer platanoides L. [1753],74934,Sapindaceae,bdtfx,observation de terrain,1,45.82558,1.23844,WGS84,FR,Limoges,87085,Null,293,2019/06/17,tb_lichensgo,Cécile Lambert  (http://www.tela-botanica.org/profil:38326),0,2019-07-30 18:10:02,2019-08-10 19:40:19,oui,45.826467,1.238365,3.0,Avenue de Naugeat,Avenue de Naugeat,,
11,urn:lsid:tela-botanica.org:cel:3609324,3609324,Parmelina tiliacea/pastillifera,652932,Null,taxref,observation de terrain,1,45.82558,1.23844,WGS84,FR,Limoges,87085,Null,293,2019/06/17,tb_lichensgo,Cécile Lambert  (http://www.tela-botanica.org/profil:38326),0,2019-07-30 18:32:29,2019-07-30 18:32:30,oui,,,,Avenue de Naugeat,,0.0,n1;e1;n2;e2;n3;n4;n5;
12,urn:lsid:tela-botanica.org:cel:3609326,3609326,Physcia adscendens/tenella,196232,Null,taxref,observation de terrain,1,45.82558,1.23844,WGS84,FR,Limoges,87085,Null,293,2019/06/17,tb_lichensgo,Cécile Lambert  (http://www.tela-botanica.org/profil:38326),0,2019-07-30 18:32:31,2019-07-30 18:32:31,oui,,,,Avenue de Naugeat,,0.0,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
13,urn:lsid:tela-botanica.org:cel:3609327,3609327,Parmelia sulcata,58889,Null,taxref,observation de terrain,1,45.82558,1.23844,WGS84,FR,Limoges,87085,Null,293,2019/06/17,tb_lichensgo,Cécile Lambert  (http://www.tela-botanica.org/profil:38326),0,2019-07-30 18:32:32,2019-07-30 18:32:32,oui,,,,Avenue de Naugeat,,0.0,n1;s1;e1;s2;e2;n3;s3;e3;n4;s4;n5;s5;e5;
14,urn:lsid:tela-botanica.org:cel:3609328,3609328,Amandinea punctata/Lecidella elaeochroma,0,Null,Autre/inconnu,observation de terrain,1,45.82568,1.2384,WGS84,FR,Limoges,87085,Null,293,2019/06/17,tb_lichensgo,Cécile Lambert  (http://www.tela-botanica.org/profil:38326),0,2019-07-30 18:32:33,2019-07-30 18:32:33,oui,,,,Avenue de Naugeat,,0.0,s2;s3;s4;s5;
15,urn:lsid:tela-botanica.org:cel:3609329,3609329,Lecanora chlarotera,0,Null,Autre/inconnu,observation de terrain,1,45.82568,1.2384,WGS84,FR,Limoges,87085,Null,293,2019/06/17,tb_lichensgo,Cécile Lambert  (http://www.tela-botanica.org/profil:38326),0,2019-07-30 18:32:33,2019-07-30 18:32:34,oui,,,,Avenue de Naugeat,,0.0,e4;
16,urn:lsid:tela-botanica.org:cel:3609330,3609330,Candelaria xanthostigma,0,Null,Autre/inconnu,observation de terrain,1,45.82575,1.23837,WGS84,FR,Limoges,87085,Null,293,2019/06/17,tb_lichensgo,Cécile Lambert  (http://www.tela-botanica.org/profil:38326),0,2019-07-30 18:32:34,2019-07-30 18:32:35,oui,,,,Avenue de Naugeat,,3609322.0,s1;e1;s2;e2;e3;o3;n4;e4;o4;s5;e5;o5;
