Espèce,Identifiant,Numéro nomenclatural,Numéro nomenclatural nom retenu,Spontanéité,Latitude,Longitude,Identifiant Commune,Altitude,Indicateur de fiabilité,Détermination validée sur IdentiPlante,Score IdentiPlante,Présence d'un échantillon d'herbier,ext:latitude-releve,ext:longitude-releve,ext:num_arbre,ext:id_obs_arbre
AULNE,11374497,0.0,0.0,3,146.8542,6.666980000000001,285054.0,171,6,0,0.0,0,146.8542825986418,6.666807531144061,6.0,0.0
Acer ,11133474,0.0,0.0,3,146.39905,7.538390000000001,282204.0,126,6,0,0.0,0,146.399064,7.538397000000001,6.0,0.0
Acer L.,22432797,501522.0,501522.0,6,303.64487,18.828699999999998,354054.0,260,18,0,0.0,0,303.645132,18.829314,12.0,0.0
Acer L. [1753],21934954,501522.0,501522.0,6,274.54618999999997,18.63204,189042.0,2481,18,0,0.0,0,274.544718,18.634331,10.0,0.0
Acer acutifolium St.-Lag.,14966205,532.0,299736.0,4,195.39138,9.34216,300224.0,192,12,0,0.0,0,195.387071,9.34523,7.0,0.0
Acer aetnense (Tineo ex Strobl) Lojac.,3804414,135.0,196.0,1,47.59643,1.3295700000000001,41018.0,109,2,0,0.0,0,47.59631110232733,1.3294449448585512,1.0,0.0
Acer campestre L. [1753],3617396,141.0,141.0,1,48.87484,2.2077299999999997,92050.0,127,3,0,0.0,0,48.874811,2.2077150000000003,2.0,0.0
Acer negundo L.,26209301,524524.0,524524.0,7,341.71593,16.39539,541761.0,381,15,0,0.0,0,341.716517198223,16.395476773681644,14.0,0.0
Acer negundo L. [1753],10953825,224796.0,224796.0,3,147.31806,21.21495,172893.0,606,9,0,0.0,0,147.31806,21.21495,6.0,0.0
Acer palmatum Thunb. [1784],10859511,396.0,396.0,3,151.59157000000002,9.64253,0.0,135,9,0,0.0,0,151.591713,9.642399000000001,6.0,0.0
Acer platane,11273571,0.0,0.0,3,130.68369,4.34301,0.0,735,6,0,0.0,0,130.68369,4.342995,6.0,0.0
Acer platanifolium Stokes,11163117,615.0,224802.0,3,137.27969000000002,9.32709,189042.0,1219,9,0,0.0,0,137.27979,9.32778,6.0,0.0
Acer platanoides L.,60146917,1198944.0,1198944.0,16,744.9549999999999,30.508939999999996,1349056.0,4488,48,0,0.0,0,744.9556612244813,30.50845437865768,33.0,0.0
Acer platanoides L. [1753],21785115,449604.0,449604.0,6,284.78633,24.90713,261255.0,1641,18,0,0.0,0,284.788686,24.906881999999996,12.0,0.0
Acer platanoides subsp. platanoides,3746209,206.0,206.0,1,45.826190000000004,1.2335399999999999,87085.0,320,3,0,0.0,0,45.826246000000005,1.23351,1.0,0.0
Acer pseudoplatanus L.,94226479,5250.0,5250.0,25,1175.6701900000003,70.48211,1880790.0,7221,74,0,-3.0,0,1175.6712274350102,70.48113709561554,46.0,0.0
Acer pseudoplatanus L. [1753],10952062,630.0,630.0,3,137.23768,9.23658,126064.0,1340,7,0,0.0,0,91.49220500000001,6.161289,4.0,0.0
Acer saccharinum L.,30369678,1752.0,1752.0,8,366.04161999999997,24.5736,505084.0,3722,21,0,0.0,0,366.04205551260253,24.57277894020081,15.0,0.0
Acer saccharinum L. [1753],3617397,219.0,219.0,1,48.87469,2.20788,92050.0,127,3,0,0.0,0,48.874811,2.2077150000000003,3.0,0.0
Aesculus L.,11411502,257448.0,257448.0,3,137.2206,9.18101,189210.0,1731,9,0,0.0,0,137.220894,9.181185000000001,6.0,0.0
Aesculus hippocastanum L.,22496434,6318.0,6318.0,6,291.84186000000005,12.96059,450286.0,511,15,0,0.0,0,291.84098634129094,12.960897957092286,11.0,0.0
Aesculus x carnea,3791595,75130.0,75130.0,1,48.84008,2.63393,77258.0,80,3,0,0.0,0,48.8402121489388,2.6347070920570563,3.0,0.0
Algues,7487626,0.0,0.0,2,97.66284999999999,4.8087800000000005,188134.0,100,4,0,0.0,0,0.0,0.0,0.0,7487605.0
Amandinea punctata/Lecidella elaeochroma,719892025,0.0,0.0,192,9252.748300000003,470.97369000000003,12729508.0,28005,532,0,15.0,0,0.0,0.0,0.0,701741598.0
Anaptychia ciliaris (L.) Körb. ex A.Massal. [1853],3736345,660397.0,660397.0,1,43.06508,0.1454,65059.0,548,3,0,0.0,0,0.0,0.0,0.0,3736344.0
Aulne glutineux,11222472,0.0,0.0,3,146.92508,5.91271,0.0,139,6,0,0.0,0,146.925825,5.927633999999999,6.0,0.0
Avium Prunus,3743911,119740.0,119740.0,1,48.82985,2.40495,75056.0,56,3,0,0.0,0,48.829864,2.405141,2.0,0.0
