Id_arbre,Id_site,Latitude,Longitude,Espece_arbre,Famille,ext:num_arbre,ext:circonference
3601640,42.5518622.972345,42.55616,2.97596,Celtis australis L. [1753],Null,1.0,67.0
3601641,42.5518622.972345,42.55609,2.97587,Celtis australis L. [1753],Null,2.0,72.5
3601642,42.5518622.972345,42.556,2.9758,Celtis australis L. [1753],Null,3.0,63.5
3609320,45.8264671.238365,45.82575,1.23837,Acer platanoides L. [1753],Sapindaceae,1.0,98.0
3609321,45.8264671.238365,45.82568,1.2384,Acer platanoides L. [1753],Sapindaceae,2.0,84.0
3609322,45.8264671.238365,45.82558,1.23844,Acer platanoides L. [1753],Sapindaceae,3.0,93.0
3617385,48.8749142.207764,48.87475,2.20761,Tilia cordata Mill. [1768],Malvaceae,1.0,50.0
3617395,48.8748112.207715,48.87474,2.20762,Tilia cordata Mill. [1768],Malvaceae,1.0,50.0
3617396,48.8748112.207715,48.87484,2.20773,Acer campestre L. [1753],Sapindaceae,2.0,50.0
3617397,48.8748112.207715,48.87469,2.20788,Acer saccharinum L. [1753],Sapindaceae,3.0,45.0
3619836,50.5305713.214133,50.53043,3.21427,Acer palmatum Thunb. [1784],Sapindaceae,1.0,47.0
3619837,50.5305713.214133,50.53057,3.21413,Acer palmatum Thunb. [1784],Sapindaceae,2.0,45.0
3619838,50.5305713.214133,50.53057,3.21413,Acer palmatum Thunb. [1784],Sapindaceae,3.0,49.0
3631960,43.5997211.430025,43.59973,1.42991,Malus Mill. [1754],Rosaceae,1.0,70.0
3637449,45.9989291.469942,45.99893,1.47011,Tilleul,Null,1.0,196.0
3637460,45.9989361.469975,45.99899,1.46997,Tilia tomentosa Moench [1785],Malvaceae,1.0,188.0
3637461,45.998661.46863,45.99897,1.46997,Tilleul ,Null,1.0,188.0
3637480,43.7824194.089347,43.78242,4.08935,Micocoulier,Null,1.0,84.0
3637481,43.7824194.089347,43.78242,4.08935,Micocoulier,Null,2.0,78.0
3637482,43.7824194.089347,43.78242,4.08935,Micocoulier,Null,3.0,93.0
3637554,46.716760.53969,46.73304,0.54787,Fraxinus L. [1753],Oleaceae,1.0,57.0
3645718,45.7459753.081879,45.74598,3.08188,Prunus L. [1753],Rosaceae,1.0,65.0
3646315,48.8459172.354833,48.84592,2.35483,Paulownia Siebold & Zucc. [1836],Paulowniaceae,1.0,2.5
3646316,48.8460192.355201,48.84585,2.35467,Paulownia tomentosa (Thunb.) Steud. [1841],Paulowniaceae,1.0,60.0
3646317,48.8460192.355201,48.84628,2.35485,Paulownia tomentosa (Thunb.) Steud. [1841],Paulowniaceae,2.0,150.0
3646318,48.8460192.355201,48.84618,2.35502,Paulownia tomentosa (Thunb.) Steud. [1841],Paulowniaceae,3.0,112.0
3646789,45.998661.46863,45.99895,1.47013,Tilia argentea Desf. ex DC. [1813],Malvaceae,1.0,196.0
3647789,48.7774182.263529,48.77745,2.26365,frene,Null,1.0,50.0
3647790,48.7774182.263529,48.77743,2.26351,frene,Null,2.0,50.0
3647791,48.7774182.263529,48.77754,2.26354,frene,Null,3.0,50.0
3647973,45.7461473.081942,45.74625,3.0819,Acer pseudoplatanus L. [1753],Sapindaceae,1.0,74.0
3649105,48.9316352.178699,48.93156,2.17855,Marronnier,Null,1.0,115.0
3649106,48.9316352.178699,48.93163,2.17864,érable,Null,2.0,90.0
3649107,48.9316352.178699,48.93167,2.17871,Frène,Null,3.0,120.0
3649536,45.7445423.081683,45.74487,3.08159,Prunus L. [1753],Rosaceae,1.0,65.0
3649555,45.7461473.081942,45.74326,3.08132,Prunus L. [1753],Rosaceae,1.0,94.0
3650001,45.7445423.081683,45.74332,3.08132,Prunus L. [1753],Rosaceae,1.0,90.0
3650013,45.7445423.081683,45.74343,3.08133,Prunus L. [1753],Rosaceae,1.0,85.0
3650605,45.7460583.079347,45.74638,3.07909,Prunus L. [1753],Rosaceae,1.0,65.0
3650606,45.7460583.079347,45.74634,3.079,Acer pseudoplatanus L. [1753],Sapindaceae,2.0,70.0
3651274,49.106027.07165,49.10602,7.07165,Acer negundo L. [1753],Sapindaceae,1.0,67.0
3651275,49.106027.07165,49.10602,7.07165,Acer negundo L. [1753],Sapindaceae,2.0,78.0
3651276,49.106027.07165,49.10602,7.07165,Acer negundo L. [1753],Sapindaceae,3.0,76.0
3651863,45.7465033.081849,45.74629,3.07895,Prunus L. [1753],Rosaceae,1.0,55.0
3651884,45.7460583.079347,45.7457,3.07892,Fraxinus L. [1753],Oleaceae,1.0,95.0
3652383,49.1030957.063929,49.10306,7.06393,Acer platanoides L. [1753],Sapindaceae,1.0,116.0
3652384,49.1030957.063929,49.10318,7.06395,Acer platanoides L. [1753],Sapindaceae,2.0,121.0
3652385,49.1030957.063929,49.10308,7.06404,Acer platanoides L. [1753],Sapindaceae,3.0,117.0
3652625,45.7456643.078661,45.74571,3.0789,Juglans L. [1753],Juglandaceae,1.0,90.0
3653860,48.8448362.355286,48.84593,2.35466,Quercus L. [1753],Fagaceae,1.0,20.0
3653951,45.8226541.242678,45.82265,1.24257,Chêne américain,Null,1.0,400.0
3654171,45.8229351.243402,45.82293,1.24335,chene americain,Null,1.0,320.0
3654172,45.8221051.2419,45.82259,1.24206,Quercus rubra L. [1753],Fagaceae,1.0,245.0
3654173,45.8227141.243558,45.82265,1.24211,Chêne,Null,1.0,182.0
3654174,45.8235591.241657,45.82267,1.24314,Quercus rubra L. [1753],Fagaceae,1.0,266.0
3654197,45.8236261.24211,45.82264,1.24259,chêne americain,Null,1.0,150.0
3654198,45.8225961.242622,45.82267,1.24273,chêne américain,Null,1.0,185.0
3654199,45.8225961.242622,45.82267,1.24273,chêne américain,Null,1.0,185.0
3654206,45.8228761.243113,45.82266,1.24227,chene américain,Null,1.0,182.0
3655424,45.7638413.115139,45.7633,3.11414,Acer L. [1753],Sapindaceae,1.0,90.0
3655442,45.7638713.114882,45.76334,3.11415,Acer L. [1753],Sapindaceae,1.0,100.0
3655443,45.7638713.114882,45.76324,3.11422,Acer L. [1753],Sapindaceae,2.0,86.0
3656214,45.7510453.096476,45.75218,3.09652,Acer L. [1753],Sapindaceae,1.0,110.0
3656215,45.7510453.096476,45.7521,3.09652,Acer L. [1753],Sapindaceae,2.0,90.0
3656216,45.7510453.096476,45.75203,3.09649,Acer L. [1753],Sapindaceae,3.0,60.0
3657722,49.12237.08318,49.1228,7.08406,Tilia platyphyllos Scop. [1771],Malvaceae,1.0,153.0
3657723,49.12237.08318,49.1228,7.08406,Tilia platyphyllos Scop. [1771],Malvaceae,2.0,152.0
3657724,49.12237.08318,49.1228,7.08406,Tilia platyphyllos Scop. [1771],Malvaceae,3.0,170.0
3657958,45.7486173.092708,45.74865,3.09304,Prunus L. [1753],Rosaceae,1.0,98.0
3657959,45.7486173.092708,45.74869,3.09297,Prunus L. [1753],Rosaceae,2.0,60.0
3657960,45.7486173.092708,45.74869,3.09307,Prunus L. [1753],Rosaceae,3.0,85.0
3663571,45.827411.241372,45.82708,1.24157,Acer platanoides L.,Sapindaceae,1.0,88.0
3663572,45.827411.241372,45.82728,1.24145,Catalpa bignonioides Walter,Bignoniaceae,2.0,64.0
3663573,45.827411.241372,45.82741,1.24133,Acer platanoides L.,Sapindaceae,3.0,44.0
3683843,50.6728333.18416,50.67252,3.18388,Quercus,Null,1.0,110.0
3683864,50.6729593.184241,50.67264,3.18397,Quercus,Null,1.0,110.0
3683865,50.6729593.184241,50.67258,3.18392,Quercus,Null,2.0,80.0
3683866,50.6729593.184241,50.67251,3.18389,Quercus,Null,3.0,101.0
3711157,48.7996882.512799,48.79963,2.5127,Acer ,Null,1.0,64.0
3711158,48.7996882.512799,48.79968,2.51279,Acer ,Null,2.0,64.0
3711159,48.7996882.512799,48.79974,2.5129,Acer ,Null,3.0,88.0
3713205,48.8097512.494637,48.80977,2.49459,Crataegus monogyna Jacq.,Rosaceae,1.0,65.0
3713206,48.8097512.494637,48.8097,2.49459,Crataegus monogyna Jacq.,Rosaceae,2.0,54.0
3713207,48.8097512.494637,48.80958,2.49453,Acer platanoides L.,Sapindaceae,3.0,79.0
3719233,48.9323642.16156,48.93264,2.16159,marronier,Null,1.0,40.0
3719234,48.9323642.16156,48.93278,2.16121,marronier,Null,2.0,40.0
3719235,48.9323642.16156,48.93234,2.16257,marronier,Null,3.0,40.0
3721038,45.759933.10926,45.75994,3.1092,Acer platanifolium Stokes,Sapindaceae,1.0,56.0
3721039,45.759933.10926,45.7599,3.10903,Acer platanifolium Stokes,Sapindaceae,2.0,48.0
3721040,45.759933.10926,45.75985,3.10886,Acer platanifolium Stokes,Sapindaceae,3.0,75.0
3722746,47.660586-2.075558,47.66059,-2.07567,Tilleul,Null,1.0,100.0
3722747,47.660586-2.075558,47.66059,-2.07534,Tilleul,Null,2.0,60.0
3728359,45.7590913.110086,45.75906,3.11009,Tilia cordata Mill.,Malvaceae,1.0,110.0
3728360,45.7590913.110086,45.759,3.11017,Tilia cordata Mill.,Malvaceae,2.0,109.0
3728361,45.7590913.110086,45.75896,3.11025,Tilia cordata Mill.,Malvaceae,3.0,118.0
3730099,48.8752952.20944,48.87519,2.20927,Aesculus hippocastanum L.,Sapindaceae,1.0,47.0
3730100,48.8752952.20944,48.87527,2.20945,Castanea sativa Mill.,Fagaceae,2.0,56.0
3730101,48.8752952.20944,48.87539,2.20965,Aesculus hippocastanum L.,Sapindaceae,3.0,64.0
3730377,45.748693.090935,45.7485,3.09034,Sophora japonica L.,Fabaceae,1.0,107.0
3730378,45.748693.090935,45.74849,3.09022,Sophora japonica L.,Fabaceae,2.0,94.0
3730379,45.748693.090935,45.74849,3.09018,Sophora japonica L.,Fabaceae,3.0,109.0
