,Identifiant,Espèce,Latitude,Longitude,Commune,Pays,Date Création
0,3601640.0,Celtis australis L. [1753],42.55616,2.97596,Saint-André,FR,2019-07-01 11:11:06
1,3601641.0,Celtis australis L. [1753],42.55609,2.97587,Saint-André,FR,2019-07-01 11:11:06
2,3601642.0,Celtis australis L. [1753],42.556,2.9758,Saint-André,FR,2019-07-01 11:11:07
8,3609320.0,Acer platanoides L. [1753],45.82575,1.23837,Limoges,FR,2019-07-30 18:10:01
9,3609321.0,Acer platanoides L. [1753],45.82568,1.2384,Limoges,FR,2019-07-30 18:10:01
10,3609322.0,Acer platanoides L. [1753],45.82558,1.23844,Limoges,FR,2019-07-30 18:10:02
25,3617385.0,Tilia cordata Mill. [1768],48.87475,2.20761,Nanterre,FR,2019-09-02 09:39:23
33,3617395.0,Tilia cordata Mill. [1768],48.87474,2.20762,Nanterre,FR,2019-09-02 09:55:40
34,3617396.0,Acer campestre L. [1753],48.87484,2.20773,Nanterre,FR,2019-09-02 09:55:41
35,3617397.0,Acer saccharinum L. [1753],48.87469,2.20788,Nanterre,FR,2019-09-02 09:55:41
67,3619836.0,Acer palmatum Thunb. [1784],50.53043,3.21427,Genech,FR,2019-09-06 16:09:48
68,3619837.0,Acer palmatum Thunb. [1784],50.53057,3.21413,Genech,FR,2019-09-06 16:09:49
69,3619838.0,Acer palmatum Thunb. [1784],50.53057,3.21413,Genech,FR,2019-09-06 16:09:49
70,3631960.0,Malus Mill. [1754],43.59973,1.42991,Toulouse,FR,2019-10-22 14:53:53
76,3637449.0,Tilleul,45.99893,1.47011,La Jonchère-Saint-Maurice,FR,2019-11-05 11:13:48
87,3637460.0,Tilia tomentosa Moench [1785],45.99899,1.46997,La Jonchère-Saint-Maurice,FR,2019-11-05 11:41:20
88,3637461.0,Tilleul ,45.99897,1.46997,La Jonchère-Saint-Maurice,FR,2019-11-05 11:54:33
89,3637480.0,Micocoulier,43.78242,4.08935,Sommières,FR,2019-11-06 08:34:17
90,3637481.0,Micocoulier,43.78242,4.08935,Sommières,FR,2019-11-06 08:34:20
91,3637482.0,Micocoulier,43.78242,4.08935,Sommières,FR,2019-11-06 08:34:21
92,3637554.0,Fraxinus L. [1753],46.73304,0.54787,Vouneuil-sur-Vienne,FR,2019-11-07 11:03:58
101,3645718.0,Prunus L. [1753],45.74598,3.08188,Beaumont,FR,2019-11-20 19:46:52
111,3646315.0,Paulownia Siebold & Zucc. [1836],48.84592,2.35483,Paris,FR,2019-11-26 15:26:06
112,3646316.0,Paulownia tomentosa (Thunb.) Steud. [1841],48.84585,2.35467,Paris,FR,2019-11-26 15:29:11
113,3646317.0,Paulownia tomentosa (Thunb.) Steud. [1841],48.84628,2.35485,Paris,FR,2019-11-26 15:29:11
114,3646318.0,Paulownia tomentosa (Thunb.) Steud. [1841],48.84618,2.35502,Paris,FR,2019-11-26 15:29:12
125,3646789.0,Tilia argentea Desf. ex DC. [1813],45.99895,1.47013,La Jonchère-Saint-Maurice,FR,2019-11-28 13:43:44
133,3647789.0,frene,48.77745,2.26365,Le Plessis-Robinson,FR,2019-12-03 11:13:20
134,3647790.0,frene,48.77743,2.26351,Le Plessis-Robinson,FR,2019-12-03 11:13:21
135,3647791.0,frene,48.77754,2.26354,Le Plessis-Robinson,FR,2019-12-03 11:13:22
136,3647973.0,Acer pseudoplatanus L. [1753],45.74625,3.0819,Beaumont,FR,2019-12-04 14:23:12
152,3649105.0,Marronnier,48.93156,2.17855,Houilles,FR,2019-12-09 18:52:39
153,3649106.0,érable,48.93163,2.17864,Houilles,FR,2019-12-09 18:52:41
154,3649107.0,Frène,48.93167,2.17871,Houilles,FR,2019-12-09 18:52:42
163,3649536.0,Prunus L. [1753],45.74487,3.08159,Beaumont,FR,2019-12-12 17:43:23
176,3649555.0,Prunus L. [1753],45.74326,3.08132,Beaumont,FR,2019-12-12 17:59:23
191,3650001.0,Prunus L. [1753],45.74332,3.08132,Beaumont,FR,2019-12-23 10:16:31
203,3650013.0,Prunus L. [1753],45.74343,3.08133,Beaumont,FR,2019-12-23 11:46:09
217,3650605.0,Prunus L. [1753],45.74638,3.07909,Beaumont,FR,2019-12-26 17:02:16
218,3650606.0,Acer pseudoplatanus L. [1753],45.74634,3.079,Beaumont,FR,2019-12-26 17:02:17
244,3651274.0,Acer negundo L. [1753],49.10602,7.07165,Sarreguemines,FR,2019-12-31 12:08:48
245,3651275.0,Acer negundo L. [1753],49.10602,7.07165,Sarreguemines,FR,2019-12-31 12:08:48
246,3651276.0,Acer negundo L. [1753],49.10602,7.07165,Sarreguemines,FR,2019-12-31 12:08:49
261,3651863.0,Prunus L. [1753],45.74629,3.07895,Beaumont,FR,2020-01-04 20:11:01
276,3651884.0,Fraxinus L. [1753],45.7457,3.07892,Beaumont,FR,2020-01-04 20:24:58
291,3652383.0,Acer platanoides L. [1753],49.10306,7.06393,Sarreguemines,FR,2020-01-10 10:32:17
292,3652384.0,Acer platanoides L. [1753],49.10318,7.06395,Sarreguemines,FR,2020-01-10 10:32:17
293,3652385.0,Acer platanoides L. [1753],49.10308,7.06404,Sarreguemines,FR,2020-01-10 10:32:17
318,3652625.0,Juglans L. [1753],45.74571,3.0789,Beaumont,FR,2020-01-15 13:22:18
410,3653860.0,Quercus L. [1753],48.84593,2.35466,Paris,FR,2020-02-12 12:03:13
411,3653951.0,Chêne américain,45.82265,1.24257,Limoges,FR,2020-02-13 17:54:48
417,3654171.0,chene americain,45.82293,1.24335,Limoges,FR,2020-02-18 15:30:20
418,3654172.0,Quercus rubra L. [1753],45.82259,1.24206,Limoges,FR,2020-02-18 15:31:13
419,3654173.0,Chêne,45.82265,1.24211,Limoges,FR,2020-02-18 15:32:27
420,3654174.0,Quercus rubra L. [1753],45.82267,1.24314,Limoges,FR,2020-02-18 15:33:53
424,3654197.0,chêne americain,45.82264,1.24259,Limoges,FR,2020-02-18 15:42:50
425,3654198.0,chêne américain,45.82267,1.24273,Limoges,FR,2020-02-18 15:43:08
426,3654199.0,chêne américain,45.82267,1.24273,Limoges,FR,2020-02-18 15:47:36
430,3654206.0,chene américain,45.82266,1.24227,Limoges,FR,2020-02-18 15:45:43
433,3655424.0,Acer L. [1753],45.7633,3.11414,Aubière,FR,2020-02-26 19:28:40
450,3655442.0,Acer L. [1753],45.76334,3.11415,Aubière,FR,2020-02-26 20:35:56
451,3655443.0,Acer L. [1753],45.76324,3.11422,Aubière,FR,2020-02-26 20:35:56
478,3656214.0,Acer L. [1753],45.75218,3.09652,Beaumont,FR,2020-03-03 19:23:13
479,3656215.0,Acer L. [1753],45.7521,3.09652,Beaumont,FR,2020-03-03 19:23:14
480,3656216.0,Acer L. [1753],45.75203,3.09649,Beaumont,FR,2020-03-03 19:23:14
