Id_site,Id_arbre,Latitude_site,Longitude_site,Num_arbre,Rue,Commune,Pays,Fréquence,Completude
42.5518622.972345,3601640,42.551862,2.972345,1.0,Rue de Taxo,Saint-André,FR,3,True
45.8264671.238365,3609320,45.826467,1.238365,1.0,Avenue de Naugeat,Limoges,FR,3,True
48.8749142.207764,3617385,48.874914,2.207764,1.0,Rue du Calvaire,Nanterre,FR,1,False
48.8748112.207715,3617395,48.874811,2.207715,1.0,Rue du Calvaire,Nanterre,FR,3,True
50.5305713.214133,3619836,50.530571,3.214133,1.0,du chateau,Genech,FR,3,True
43.5997211.430025,3631960,43.599721,1.430025,1.0,Allées Charles de Fitte,Toulouse,FR,1,False
45.9989291.469942,3637449,45.998929,1.469942,1.0,Rue de l'École,La Jonchère-Saint-Maurice,FR,1,False
45.9989361.469975,3637460,45.998936,1.469975,1.0,Rue de l'École,La Jonchère-Saint-Maurice,FR,1,False
45.998661.46863,3637461,45.99866,1.46863,1.0,87340,La Jonchère-Saint-Maurice,FR,2,False
43.7824194.089347,3637480,43.782419,4.089347,1.0,Route de Nîmes,Sommières,FR,3,True
46.716760.53969,3637554,46.71676,0.53969,1.0,Moulin de Chitré,Vouneuil-sur-Vienne,FR,1,False
45.7459753.081879,3645718,45.745975,3.081879,1.0,Rue Bernard Maître,Beaumont,FR,1,False
48.8459172.354833,3646315,48.845917,2.354833,1.0,Place jussieu,Paris,FR,1,False
48.8460192.355201,3646316,48.846019,2.355201,1.0,Place Jussieu,Paris,FR,3,True
48.7774182.263529,3647789,48.777418,2.263529,1.0,Rue du Capitaine Georges Facq,Le Plessis-Robinson,FR,3,True
45.7461473.081942,3647973,45.746147,3.081942,1.0,Rue Bernard Maître,Beaumont,FR,2,False
48.9316352.178699,3649105,48.931635,2.178699,1.0,Rue Chanzy,Houilles,FR,3,True
45.7445423.081683,3649536,45.744542,3.081683,1.0,Rue Bernard Maître,Beaumont,FR,3,True
45.7460583.079347,3650605,45.746058,3.079347,1.0,Impasse Mozart,Beaumont,FR,3,True
49.106027.07165,3651274,49.10602,7.07165,1.0,Rue Raymond Poincaré,Sarreguemines,FR,3,True
45.7465033.081849,3651863,45.746503,3.081849,1.0,Rue Claude Debussy,Beaumont,FR,1,False
49.1030957.063929,3652383,49.103095,7.063929,1.0,Rue des Dahlias,Sarreguemines,FR,3,True
45.7456643.078661,3652625,45.745664,3.078661,1.0,Rue Claude Debussy,Beaumont,FR,1,False
48.8448362.355286,3653860,48.844836,2.355286,1.0,4 place jussieu,Paris,FR,1,False
45.8226541.242678,3653951,45.822654,1.242678,1.0,Rue Sainte-Claire,Limoges,FR,1,False
45.8229351.243402,3654171,45.822935,1.243402,1.0,Rue Sainte-Claire,Limoges,FR,1,False
