Id_lichens,Espece_lichens,Id_arbre,Id_quadrat
3601644,Xanthoria parietina,3601642,1
3601645,Physcia adscendens/tenella,3601642,2
3601646,lichen crustacé à aspect poudreux,3601642,3
3601648,lichen crustacé à aspect poudreux,0,4
3601650,lichen crustacé à aspect poudreux,0,5
3609324,Parmelina tiliacea/pastillifera,0,6
3609326,Physcia adscendens/tenella,0,7
3609327,Parmelia sulcata,0,8
3609328,Amandinea punctata/Lecidella elaeochroma,0,9
3609329,Lecanora chlarotera,0,10
3609330,Candelaria xanthostigma,3609322,11
3609331,Xanthoria parietina,0,12
3609332,Hypotrachyna afrorevoluta/revoluta,0,13
3609333,Hypogymnia physodes/tubulosa,0,14
3609334,Parmelia saxatilis,3609322,15
3609335,Ramalina farinacea,0,16
3609336,Ramalina fastigiata,0,17
3609337,Evernia prunastri,3609322,18
3609338,Parmelia subrudecta,0,19
3617387,Amandinea punctata/Lecidella elaeochroma,3617385,20
3617388,Physcia adscendens/tenella,3617385,21
3617389,Xanthoria parietina,3617385,22
3617390,Amandinea punctata/Lecidella elaeochroma,3617385,23
3617391,Amandinea punctata/Lecidella elaeochroma,3617385,24
3617393,Xanthoria parietina,3617385,25
3617394,Diploicia canescens,3617385,26
3617400,Amandinea punctata/Lecidella elaeochroma,3617397,27
3617401,Physcia adscendens/tenella,3617397,28
3617402,Xanthoria parietina,3617397,29
3617403,Amandinea punctata/Lecidella elaeochroma,3617397,30
3617404,Physcia adscendens/tenella,3617397,31
3617405,Xanthoria parietina,3617397,32
3617406,Diploicia canescens,3617397,33
3617407,Xanthoria parietina,0,34
3617408,Physcia adscendens/tenella,0,35
3617409,Physcia aipolia/stellaris,0,36
3617413,Xanthoria parietina,0,37
3617414,Physcia adscendens/tenella,0,38
3617415,Physcia aipolia/stellaris,0,39
3617416,Diploicia canescens,0,40
3617417,autre lichen crustacé,0,41
3617418,Xanthoria parietina,0,42
3617419,Physcia adscendens/tenella,0,43
3617420,Amandinea punctata/Lecidella elaeochroma,0,44
3617421,autre lichen crustacé,0,45
3617422,Pleurosticta acetabulum,0,46
3617423,Flavoparmelia caperata/soredians,0,47
3617424,Parmelia sulcata,0,48
3617425,Xanthoria parietina,0,49
3617426,Physcia adscendens/tenella,0,50
3617427,Diploicia canescens,0,51
3617428,Amandinea punctata/Lecidella elaeochroma,0,52
3617429,Hyperphyscia adglutinata,0,53
3617430,Flavoparmelia caperata/soredians,0,54
3617431,Melanohalea exasperata,0,55
3617432,Parmelia sulcata,0,56
3617433,Physcia leptalea,0,57
3631961,Physcia adscendens/tenella,3631960,58
3631962,Xanthoria parietina,3631960,59
3631963,Phaeophyscia orbicularis,3631960,60
3631964,Hyperphyscia adglutinata,3631960,61
3631965,Candelaria concolor,3631960,62
3637450,Ochrolechia turneri,3637449,63
3637451,Flavoparmelia caperata/soredians,3637449,64
3637452,Amandinea punctata/Lecidella elaeochroma,3637449,65
3637453,Lecanora sp.,3637449,66
3637454,lichen crustacé à aspect poudreux,3637449,67
3637455,Chrolechia turneri,3637449,68
3637456,Amandinea punctata/Lecidella elaeochroma,3637449,69
3637457,lichens crustace à lirelles,3637449,70
3637458,Ochrolechia tyrneri,3637449,71
3637459,Pertusaria pertusa,3637449,72
3637555,Amandinea punctata/Lecidella elaeochroma,3637554,73
3637556,Lecanora sp.,3637554,74
3637557,Lecanora sp.,3637554,75
3637558,Xanthoria parietina,3637554,76
3637559,Physcia adscendens/tenella,3637554,77
3637560,Punctelia sp.,3637554,78
3637561,autre lichen crustacé,3637554,79
3637562,autre lichen crustacé,3637554,80
3645719,Candelaria concolor,3645718,81
3645720,Flavoparmelia caperata/soredians,3645718,82
3645721,autres Melanohalea,3645718,83
3645722,Hypogymnia physodes/tubulosa,3645718,84
3645723,Physcia aipolia/stellaris,3645718,85
3645724,Physconia grisea,3645718,86
3645725,Parmelia sulcata,3645718,87
3645726,Evernia prunastri,3645718,88
3645727,Physcia adscendens/tenella,3645718,89
3646319,Hyperphyscia adglutinata,3646318,90
3646320,autre lichen crustacé,3646318,91
3646321,Physcia adscendens/tenella,3646318,92
3646382,Xanthoria parietina,3646315,93
3646383,Physcia adscendens/tenella,3646315,94
3646384,Punctelia sp.,3646315,95
3646385,Hyperphyscia adglutinata,3646315,96
3646386,Physcia adscendens/tenella,0,97
3646387,Xanthoria parietina,0,98
3646388,Physcia adscendens/tenella,0,99
3646790,autre lichen crustacé,3646789,100
3646791,Flavoparmelia caperata/soredians,3646789,101
3646792,Amandinea punctata/Lecidella elaeochroma,3646789,102
3646793,Lecanora sp.,3646789,103
3646794,lichen crustacé à aspect poudreux,3646789,104
3646796,Pertusaria pertusa,3646789,105
3646797,lichens crustace à lirelles,3646789,106
3647991,Physcia adscendens/tenella,3647973,107
3647992,Physcia aipolia/stellaris,3647973,108
3647993,Parmelia sulcata,3647973,109
3647994,Candelaria concolor,3647973,110
3647995,Lecanora sp.,3647973,111
3647996,Hypogymnia physodes/tubulosa,3647973,112
3647997,Pleurosticta acetabulum,3647973,113
3647998,Evernia prunastri,3647973,114
3647999,Xanthoria parietina,3647973,115
3648000,autre lichen foliacé,3647973,116
3648032,Amandinea punctata/Lecidella elaeochroma,3647973,117
3648033,lichen crustacé à aspect poudreux,3647973,118
3648035,Physconia distorta,3647973,119
3648036,Flavoparmelia caperata/soredians,3647973,120
3648037,Phaeophyscia orbicularis,3647973,121
3649108,Hypogymnia physodes/tubulosa,3649107,122
3649109,autre lichen crustacé,3649107,123
3649110,Candelaria concolor,3649107,124
3649111,Hypogymnia physodes/tubulosa,0,125
3649112,autre lichen crustacé,0,126
3649113,Xanthoria parietina,0,127
3649114,Physcia adscendens/tenella,0,128
3649115,autre lichen crustacé,0,129
3649541,Physconia distorta,3649536,130
3649542,Candelaria concolor,3649536,131
3649543,Pleurosticta acetabulum,3649536,132
3649544,Parmelia sulcata,3649536,133
3649545,Physconia grisea,3649536,134
3649546,Evernia prunastri,3649536,135
3649547,Flavoparmelia caperata/soredians,3649536,136
3649548,autre lichen foliacé,3649536,137
3649549,Physcia adscendens/tenella,3649536,138
3649550,Melanelixia glabratula/subaurifera,3649536,139
3649552,Amandinea punctata/Lecidella elaeochroma,3649536,140
3649553,Xanthoria parietina,3649536,141
3649557,Physconia distorta,3649555,142
3649558,Candelaria concolor,3649555,143
3649559,Pleurosticta acetabulum,3649555,144
3649560,Parmelia sulcata,3649555,145
3649561,Physconia grisea,3649555,146
3649562,Punctelia sp.,3649555,147
3649563,Evernia prunastri,3649555,148
3649564,Flavoparmelia caperata/soredians,3649555,149
3649565,autre lichen foliacé,3649555,150
3649566,Physcia adscendens/tenella,3649555,151
3649567,Amandinea punctata/Lecidella elaeochroma,3649555,152
3649568,Xanthoria parietina,3649555,153
3649569,lichen crustacé à aspect poudreux,3649555,154
3649570,Melanohalea exasperata,3649555,155
3650002,Punctelia sp.,3650001,156
3650003,Pleurosticta acetabulum,3650001,157
3650004,Parmelia sulcata,3650001,158
3650005,Evernia prunastri,3650001,159
3650006,Candelaria concolor,3650001,160
3650007,Flavoparmelia caperata/soredians,3650001,161
3650008,Phaeophyscia orbicularis,3650001,162
3650009,Physcia adscendens/tenella,3650001,163
3650010,Physcia aipolia/stellaris,3650001,164
