,Identifiant,Espèce,Date Création,Latitude,Longitude,ext:loc-sur-tronc
3,3601644,Xanthoria parietina,2019-07-01 11:14:00,42.55616,2.97596,n2;n3;n4;
4,3601645,Physcia adscendens/tenella,2019-07-01 11:14:01,42.55616,2.97596,n1;n2;n3;n4;n5;
5,3601646,lichen crustacé à aspect poudreux,2019-07-01 11:14:01,42.55616,2.97596,n1;s1;n2;n3;n4;s4;n5;s5;
6,3601648,lichen crustacé à aspect poudreux,2019-07-01 11:15:15,42.55609,2.97587,n1;s1;n2;s2;o2;n3;s3;o3;n4;s4;s5;o5;
7,3601650,lichen crustacé à aspect poudreux,2019-07-01 11:16:26,42.556,2.9758,s1;s2;s3;s4;
11,3609324,Parmelina tiliacea/pastillifera,2019-07-30 18:32:29,45.82558,1.23844,n1;e1;n2;e2;n3;n4;n5;
12,3609326,Physcia adscendens/tenella,2019-07-30 18:32:31,45.82558,1.23844,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;n4;s4;e4;o4;n5;s5;e5;o5;
13,3609327,Parmelia sulcata,2019-07-30 18:32:32,45.82558,1.23844,n1;s1;e1;s2;e2;n3;s3;e3;n4;s4;n5;s5;e5;
14,3609328,Amandinea punctata/Lecidella elaeochroma,2019-07-30 18:32:33,45.82568,1.2384,s2;s3;s4;s5;
15,3609329,Lecanora chlarotera,2019-07-30 18:32:33,45.82568,1.2384,e4;
16,3609330,Candelaria xanthostigma,2019-07-30 18:32:34,45.82575,1.23837,s1;e1;s2;e2;e3;o3;n4;e4;o4;s5;e5;o5;
17,3609331,Xanthoria parietina,2019-07-30 18:32:35,45.82558,1.23844,s1;o1;o2;o3;e4;o4;n5;
18,3609332,Hypotrachyna afrorevoluta/revoluta,2019-07-30 18:32:36,45.82558,1.23844,n1;o1;s2;o4;s5;o5;
19,3609333,Hypogymnia physodes/tubulosa,2019-07-30 18:32:37,45.82558,1.23844,e1;e2;e4;
20,3609334,Parmelia saxatilis,2019-07-30 18:47:36,45.82575,1.23837,s2;e4;
21,3609335,Ramalina farinacea,2019-07-30 18:47:37,45.82568,1.2384,s1;s2;
22,3609336,Ramalina fastigiata,2019-07-30 18:47:37,45.82568,1.2384,n1;
23,3609337,Evernia prunastri,2019-07-30 18:47:38,45.82575,1.23837,s3;
24,3609338,Parmelia subrudecta,2019-07-30 18:47:39,45.82558,1.23844,n1;e1;o1;o2;o3;o5;
26,3617387,Amandinea punctata/Lecidella elaeochroma,2019-09-02 09:46:08,48.87475,2.20761,n1;e1;e2;n3;e3;n4;n5;
27,3617388,Physcia adscendens/tenella,2019-09-02 09:46:09,48.87475,2.20761,e1;o1;e2;o2;n3;s3;e3;o3;s4;e4;o4;s5;e5;o5;
28,3617389,Xanthoria parietina,2019-09-02 09:46:10,48.87475,2.20761,o1;n2;e2;o2;n3;o3;o4;o5;
29,3617390,Amandinea punctata/Lecidella elaeochroma,2019-09-02 09:46:10,48.87475,2.20761,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;s4;e4;o4;n5;s5;e5;o5;
30,3617391,Amandinea punctata/Lecidella elaeochroma,2019-09-02 09:46:11,48.87475,2.20761,n1;s1;e1;o1;n2;s2;e2;o2;n3;s3;e3;o3;s4;e4;o4;n5;s5;e5;o5;
31,3617393,Xanthoria parietina,2019-09-02 09:46:13,48.87475,2.20761,e1;o1;s2;e2;o2;s3;e3;o3;s4;e4;o4;s5;e5;o5;
32,3617394,Diploicia canescens,2019-09-02 09:46:14,48.87475,2.20761,n1;s1;e1;o1;n2;e2;n3;s3;e3;n4;s4;e4;n5;e5;
