Id_quadrat,Id_lichens,Id_arbre,Location_lichens_sur_arbre,Date_Observation
1,3601644,3601642,"['n2', 'n3', 'n4', '']",2018/03/03
2,3601645,3601642,"['n1', 'n2', 'n3', 'n4', 'n5', '']",2018/03/03
3,3601646,3601642,"['n1', 's1', 'n2', 'n3', 'n4', 's4', 'n5', 's5', '']",2018/03/03
4,3601648,0,"['n1', 's1', 'n2', 's2', 'o2', 'n3', 's3', 'o3', 'n4', 's4', 's5', 'o5', '']",2018/03/03
5,3601650,0,"['s1', 's2', 's3', 's4', '']",2018/03/03
6,3609324,0,"['n1', 'e1', 'n2', 'e2', 'n3', 'n4', 'n5', '']",2019/06/17
7,3609326,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/06/17
8,3609327,0,"['n1', 's1', 'e1', 's2', 'e2', 'n3', 's3', 'e3', 'n4', 's4', 'n5', 's5', 'e5', '']",2019/06/17
9,3609328,0,"['s2', 's3', 's4', 's5', '']",2019/06/17
10,3609329,0,"['e4', '']",2019/06/17
11,3609330,3609322,"['s1', 'e1', 's2', 'e2', 'e3', 'o3', 'n4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/06/17
12,3609331,0,"['s1', 'o1', 'o2', 'o3', 'e4', 'o4', 'n5', '']",2019/06/17
13,3609332,0,"['n1', 'o1', 's2', 'o4', 's5', 'o5', '']",2019/06/17
14,3609333,0,"['e1', 'e2', 'e4', '']",2019/06/17
15,3609334,3609322,"['s2', 'e4', '']",2019/06/17
16,3609335,0,"['s1', 's2', '']",2019/06/17
17,3609336,0,"['n1', '']",2019/06/17
18,3609337,3609322,"['s3', '']",2019/06/17
19,3609338,0,"['n1', 'e1', 'o1', 'o2', 'o3', 'o5', '']",2019/06/17
20,3617387,3617385,"['n1', 'e1', 'e2', 'n3', 'e3', 'n4', 'n5', '']",2019/01/16
21,3617388,3617385,"['e1', 'o1', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/01/16
22,3617389,3617385,"['o1', 'n2', 'e2', 'o2', 'n3', 'o3', 'o4', 'o5', '']",2019/01/16
23,3617390,3617385,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/25
24,3617391,3617385,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/25
25,3617393,3617385,"['e1', 'o1', 's2', 'e2', 'o2', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/07/25
26,3617394,3617385,"['n1', 's1', 'e1', 'o1', 'n2', 'e2', 'n3', 's3', 'e3', 'n4', 's4', 'e4', 'n5', 'e5', '']",2019/07/25
27,3617400,3617397,"['n1', 'e1', 'e2', 'n3', 'e3', 'n4', 'n5', '']",2019/01/16
28,3617401,3617397,"['e1', 'o1', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/01/16
29,3617402,3617397,"['o1', 'n2', 'e2', 'o2', 'n3', 'o3', 'o4', 'o5', '']",2019/01/16
30,3617403,3617397,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/25
31,3617404,3617397,"['s1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/07/25
32,3617405,3617397,"['e1', 'o1', 's2', 'e2', 'o2', 's3', 'e3', 'o3', 's4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/07/25
33,3617406,3617397,"['n1', 's1', 'e1', 'o1', 'n2', 'e2', 'n3', 's3', 'e3', 'n4', 's4', 'n5', 'e5', '']",2019/07/25
34,3617407,0,"['n1', 's1', 'e1', 'o1', 'n2', 'e2', 'o2', 'n3', 'e3', 'o3', 'n4', 'e4', 'o4', 'n5', 'e5', 'o5', '']",2019/01/16
35,3617408,0,"['n1', 's1', 'e1', 'n2', 's2', 'e2', 'n3', 's3', 'e3', 'n4', 's4', 'e4', 'n5', 's5', 'e5', '']",2019/01/16
36,3617409,0,"['o1', 'o2', 'o3', 'o4', 'o5', '']",2019/01/16
37,3617413,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/25
38,3617414,0,"['n1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/25
39,3617415,0,"['n1', 'o1', 'o2', 'o3', 'o4', 'o5', '']",2019/07/25
40,3617416,0,"['n1', 'o1', 'o2', 'e3', 'o3', 'n4', 'e4', 'o4', 'o5', '']",2019/07/25
41,3617417,0,"['o4', 'e5', '']",2019/07/25
42,3617418,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/01/16
43,3617419,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/01/16
44,3617420,0,"['s1', 's2', '']",2019/01/16
45,3617421,0,"['s2', 'o2', '']",2019/01/16
46,3617422,0,"['e1', 'e2', 'e3', 'e4', 'e5', '']",2019/01/16
47,3617423,0,"['o4', 'o5', '']",2019/01/16
48,3617424,0,"['o3', 'o4', 'o5', '']",2019/01/16
49,3617425,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/25
50,3617426,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/07/25
51,3617427,0,"['n1', 'e1', 'o1', 'n2', 'e2', 'o2', 'n3', 'e3', 'o3', 'n4', 'e4', 'o4', 'n5', 'e5', '']",2019/07/25
52,3617428,0,"['n1', 'e1', 'n2', 'o2', 'n4', '']",2019/07/25
53,3617429,0,"['n1', 'o1', 'o2', '']",2019/07/25
54,3617430,0,"['s1', 'e1', 'o1', 's2', 'e2', 'o2', 'o3', 'o4', 's5', '']",2019/07/25
55,3617431,0,"['s3', 's4', 's5', '']",2019/07/25
56,3617432,0,"['e3', '']",2019/07/25
57,3617433,0,"['o2', '']",2019/07/25
58,3631961,3631960,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/10/22
59,3631962,3631960,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/10/22
60,3631963,3631960,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/10/22
61,3631964,3631960,"['e1', 'e2', 'o2', 'e3', 'o3', 'e4', 'o4', 'e5', 'o5', '']",2019/10/22
62,3631965,3631960,"['o1', 'o2', 'o3', 'o4', 'e5', 'o5', '']",2019/10/22
63,3637450,3637449,"['n1', 'n2', 'n3', 'n4', 'n5', '']",2019/10/18
64,3637451,3637449,"['n5', '']",2019/10/18
65,3637452,3637449,"['n1', 'n2', 'n3', 'n4', 'n5', '']",2019/10/18
66,3637453,3637449,"['n1', 'n2', 'n3', 'n4', 'n5', '']",2019/10/18
67,3637454,3637449,"['s2', 's3', 's4', '']",2019/10/18
68,3637455,3637449,"['e1', 'e4', '']",2019/10/18
69,3637456,3637449,"['e2', '']",2019/10/18
70,3637457,3637449,"['e3', '']",2019/10/18
71,3637458,3637449,"['o1', 'o3', 'o4', 'o5', '']",2019/10/18
72,3637459,3637449,"['o5', '']",2019/10/18
73,3637555,3637554,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/10/31
74,3637556,3637554,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 'e5', 'o5', '']",2019/10/31
75,3637557,3637554,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/10/31
76,3637558,3637554,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/10/31
77,3637559,3637554,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/10/31
78,3637560,3637554,"['n1', 'o1', 'o4', '']",2019/10/31
79,3637561,3637554,"['e5', 'o5', '']",2019/10/31
80,3637562,3637554,"['o5', '']",2019/10/31
81,3645719,3645718,"['n1', 's1', 'e1', 'o1', 's2', 'e2', 'o2', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 's5', 'e5', 'o5', '']",2019/11/20
82,3645720,3645718,"['e5', '']",2019/11/20
83,3645721,3645718,"['e1', 'e2', 'e4', 'e5', '']",2019/11/20
84,3645722,3645718,"['e2', '']",2019/11/20
85,3645723,3645718,"['e2', '']",2019/11/20
86,3645724,3645718,"['n1', 's1', 'n2', 's2', 'n4', 'n5', '']",2019/11/20
87,3645725,3645718,"['n1', 'o1', 'n2', 'o2', 'n3', 'n4', 'o4', 'n5', '']",2019/11/20
88,3645726,3645718,"['n1', 'n4', 'o5', '']",2019/11/20
89,3645727,3645718,"['o4', '']",2019/11/20
90,3646319,3646318,"['n1', 's1', 'e1', 'o1', 's2', 'e2', 'o2', 'n3', 's3', 'e3', 'o3', 'n4', 's4', 'e4', 'o4', 'n5', 's5', 'e5', '']",2019/11/26
91,3646320,3646318,"['n1', '']",2019/11/26
92,3646321,3646318,"['e1', 's2', '']",2019/11/26
93,3646382,3646315,"['n1', 'n3', 'n4', 'n5', '']",2019/11/26
94,3646383,3646315,"['n1', 'n2', 'n3', 'n4', 's4', 'n5', 's5', '']",2019/11/26
95,3646384,3646315,"['n3', '']",2019/11/26
96,3646385,3646315,"['n1', 's1', 'e1', 'n2', 's2', 'e2', 'n3', 's3', 'e3', 'n4', 's4', 'e4', 'n5', '']",2019/11/26
97,3646386,0,"['n1', 's1', 'e1', 'o1', 'n2', 's2', 'o2', 'n3', 's3', 'o3', 'n4', 's4', 'o4', 'n5', 's5', 'e5', 'o5', '']",2019/11/26
98,3646387,0,"['s4', 's5', '']",2019/11/26
99,3646388,0,"['s1', 's2', 'n3', 's3', 's4', 's5', '']",2019/11/26
100,3646790,3646789,"['n1', 'e1', 'o1', 'n2', 'n3', 'o3', 'n4', 'e4', 'o4', 'n5', 'o5', '']",2019/10/18
101,3646791,3646789,"['n5', '']",2019/10/18
102,3646792,3646789,"['n1', 'n2', 's2', 'e2', 'n3', 'n4', 'n5', '']",2019/10/18
103,3646793,3646789,"['n1', 'n2', 'n3', 'n4', 'n5', '']",2019/10/18
