Id_site,ext:latitude-releve,ext:longitude-releve,ext:rue,Commune,Pays
42.5518622.972345,42.551862,2.972345,Rue de Taxo,Saint-André,FR
45.8264671.238365,45.826467,1.238365,Avenue de Naugeat,Limoges,FR
48.8749142.207764,48.874914,2.207764,Rue du Calvaire,Nanterre,FR
48.8748112.207715,48.874811,2.207715,Rue du Calvaire,Nanterre,FR
50.5305713.214133,50.530571,3.214133,du chateau,Genech,FR
43.5997211.430025,43.599721,1.430025,Allées Charles de Fitte,Toulouse,FR
45.9989291.469942,45.998929,1.469942,Rue de l'École,La Jonchère-Saint-Maurice,FR
45.9989361.469975,45.998936,1.469975,Rue de l'École,La Jonchère-Saint-Maurice,FR
45.998661.46863,45.99866,1.46863,87340,La Jonchère-Saint-Maurice,FR
43.7824194.089347,43.782419,4.089347,Route de Nîmes,Sommières,FR
46.716760.53969,46.71676,0.53969,Moulin de Chitré,Vouneuil-sur-Vienne,FR
45.7459753.081879,45.745975,3.081879,Rue Bernard Maître,Beaumont,FR
48.8459172.354833,48.845917,2.354833,Place jussieu,Paris,FR
48.8460192.355201,48.846019,2.355201,Place Jussieu,Paris,FR
45.998661.46863,45.99866,1.46863,19 Rue de l'École,La Jonchère-Saint-Maurice,FR
48.7774182.263529,48.777418,2.263529,Rue du Capitaine Georges Facq,Le Plessis-Robinson,FR
45.7461473.081942,45.746147,3.081942,Rue Bernard Maître,Beaumont,FR
48.9316352.178699,48.931635,2.178699,Rue Chanzy,Houilles,FR
45.7445423.081683,45.744542,3.081683,Rue Bernard Maître,Beaumont,FR
45.7460583.079347,45.746058,3.079347,Impasse Mozart,Beaumont,FR
49.106027.07165,49.10602,7.07165,Rue Raymond Poincaré,Sarreguemines,FR
45.7465033.081849,45.746503,3.081849,Rue Claude Debussy,Beaumont,FR
49.1030957.063929,49.103095,7.063929,Rue des Dahlias,Sarreguemines,FR
45.7456643.078661,45.745664,3.078661,Rue Claude Debussy,Beaumont,FR
48.8448362.355286,48.844836,2.355286,4 place jussieu,Paris,FR
45.8226541.242678,45.822654,1.242678,Rue Sainte-Claire,Limoges,FR
45.8229351.243402,45.822935,1.243402,Rue Sainte-Claire,Limoges,FR
45.8221051.2419,45.822105,1.2419,Rue Sainte-Claire,Limoges,FR
45.8227141.243558,45.822714,1.243558,Rue Sainte-Claire,Limoges,FR
45.8235591.241657,45.823559,1.241657,Rue Sainte-Claire,Limoges,FR
45.8236261.24211,45.823626,1.24211,Rue Sainte-Claire,Limoges,FR
45.8225961.242622,45.822596,1.242622,Rue Sainte-Claire,Limoges,FR
45.8228761.243113,45.822876,1.243113,Rue Sainte-Claire,Limoges,FR
45.7638413.115139,45.763841,3.115139,Avenue de la Margeride,Aubière,FR
45.7638713.114882,45.763871,3.114882,Avenue des Landais,Aubière,FR
45.7510453.096476,45.751045,3.096476,Avenue des Rivaux,Beaumont,FR
49.12237.08318,49.1223,7.08318,Rue de Graefinthal,Sarreguemines,FR
45.7486173.092708,45.748617,3.092708,Rue des Têtes,Beaumont,FR
45.827411.241372,45.82741,1.241372,Rue Louis Casimir Ranson,Limoges,FR
50.6728333.18416,50.672833,3.18416,Rue Charles Fourrier,Roubaix,FR
50.6729593.184241,50.672959,3.184241,Rue Charles Fourrier,Roubaix,FR
48.7996882.512799,48.799688,2.512799,Avenue Didier,Saint-Maur-des-Fossés,FR
48.8097512.494637,48.809751,2.494637,Avenue de l'Observatoire,Saint-Maur-des-Fossés,FR
48.9323642.16156,48.932364,2.16156,Rue Lamarck,Sartrouville,FR
45.759933.10926,45.75993,3.10926,Allée des Pensées,Aubière,FR
47.660586-2.075558,47.660586,-2.075558,Rue du Maréchal Leclerc,Redon,FR
45.7590913.110086,45.759091,3.110086,Rue de la Ganne,Aubière,FR
48.8752952.20944,48.875295,2.20944,Promenade Jacques-Baumel,Nanterre,FR
45.748693.090935,45.74869,3.090935,le chemin vert,Beaumont,FR
45.7471923.089497,45.747192,3.089497,Rue Édouard Branly,Beaumont,FR
45.7566773.100644,45.756677,3.100644,Rue Paul Gauguin,Beaumont,FR
45.7579953.100752,45.757995,3.100752,Impasse de l'Ortf,Beaumont,FR
48.9358592.340845,48.935859,2.340845,Quai de la Marine,L'Île-Saint-Denis,FR
48.9470562.315004,48.947056,2.315004,La Promenade Bleue,Villeneuve-la-Garenne,FR
45.755033.099759,45.75503,3.099759,Rue du Montant,Beaumont,FR
45.7533053.088768,45.753305,3.088768,Route de Romagnat,Beaumont,FR
45.7546263.097254,45.754626,3.097254,Avenue de l'Europe,Beaumont,FR
45.817671.252908,45.81767,1.252908,Quai Salvador Allende,Limoges,FR
45.8177041.252892,45.817704,1.252892,Quai Salvador Allende,Limoges,FR
43.065110.145376,43.06511,0.145376,Rue du Martinet,Bagnères-de-Bigorre,FR
48.8461222.354533,48.846122,2.354533,Rue Linné,Paris,FR
48.8458892.354572,48.845889,2.354572,Rue Linné,Paris,FR
49.122317.083393,49.12231,7.083393,Rue de Graefinthal,Sarreguemines,FR
50.6090373.133985,50.609037,3.133985,Allée de l'Université,Villeneuve-d'Ascq,FR
50.6154583.132155,50.615458,3.132155,Boulevard de Valmy,Villeneuve-d'Ascq,FR
50.612543.122186,50.61254,3.122186,Rue Chanzy,Lezennes,FR
50.6074883.13808,50.607488,3.13808,Avenue Halley,Villeneuve-d'Ascq,FR
50.6075563.138358,50.607556,3.138358,Avenue Halley,Villeneuve-d'Ascq,FR
48.7886592.455077,48.788659,2.455077,Rue Maurice Demenitroux,Créteil,FR
